Image,DateAcquired,ExposureCh1,PowerCh1,ExposureCh2,PowerCh2,ExposureCh3,PowerCh3,DAPI,FITC,TxRedCy5,Experiment,Replicate,Coverslip,Condition,Normalization
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov1,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov1,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov1,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_EricR23_MCAM488-100_pERM594-100_Ph405-150_60X_S2_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-pERM-Factin_Rep1,20220911_Naive_StainMCAM-pERM-Factin_Rep1_Cov2,Naive_StainMCAM-pERM-Factin,Control
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_008.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_008.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_009.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_010.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_008.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S1_008.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_EZR594-100_Ph405-150_60X_S2_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1,20220911_KKGK4_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK4_StainMCAM-EZR-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1,20220911_KKGK4_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
20220915_KKGK4_MCAM488-100_pERM594-100_Ph405-150_60X_S1_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1,20220911_KKGK4_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK4_StainMCAM-pERM-Factin,
